BoxNumber,FolderNumber,Contents,Date
12,560,"Ward, Edward Matthew, 1816-1879. ALS and AL to T. J. Pettigrew","1850, 1852"
12,561,"Ward, James, 1769-1859. 2 ALS and 1 AL to T. J. Pettigrew",1849 Mar-Apr
12,562,"Wardrop, James, 1782-1869. 3 ALS and 2 AL to T. J. Pettigrew",[1838 or later]
12,563,"Warne, Elizabeth. 2 ALS to T. J. Pettigrew",n.d.
12,564,"Warneford, Samuel Wilson, 1763-1855. 3 ALS to T. J. Pettigrew",1848-50
12,565,"Watson, Ralph. 9 ALS to T. J. Pettigrew",1829-33
12,566,"Way, Albert. 1805-1874. 6 ALS to T. J. Pettigrew",1844 May
12,567,"Webster, Thomas, 1800-1886. ALS to T. J. Pettigrew",1849 Jan 7
12,568,"Weld, Charles Richard, 1813-1869. ALS and LS to T. J. Pettigrew","1849, 1852"
12,569,2 ALS to T. J. Pettigrew,"1845, 1852"
12,570,ALS to C. R. Smith,1849 Dec 27
12,571,"Wemyss, David Douglas, 1760-1839. ALS to T. J. Pettigrew",1828 Feb 27
12,572,"Westall, Richard, 1765-1836. 2 ALS to T. J. Pettigrew",[1827]-29
12,573,"Westmacott, Sir Richard, 1775-1856. 14 ALS and 1 AL to T. J. Pettigrew, 1 ALS to T[homas?] Taylor, 1 ALS to [W.R. Hamilton]",1816-43
12,574,"Westmacott, Richard, 1799-1872. ALS to T. J. Pettigrew",1844 Jan 11
12,575,"Wharncliffe, Edward Montagu-Stuart- Wortley Mackenzie, 1st Earl of, 1827-1899. ALS to T. J. Pettigrew",1862 Mar 14
12,576,"Whatton, William Robert, 1790-1835. ALS to T. J. Pettigrew",1827 Jul 6
12,577,"Wheatley, J. H. W. ALS to T. J. Pettigrew",1831 Jan 15
12,578,"Whichcord, John, 1823-1885. ALS to T. J. Pettigrew",1850 Jun 21
12,579,"Whittaker, George Byrom, 1793-1847. ALS to T. J. Pettigrew",1824 May 13
12,580,"Whittaker, John William, 1790?-1854. 3 ALS to T. J. Pettigrew",1850-52
12,581,"Wilbraham, Roger, 1744-1829. 2 ALS and 1 AL to T. J. Pettigrew",1825-27
12,582,"Wild, Charles, 1781-1835. ALS to T. J. Pettigrew",1828 Apr 12
12,583,"Wilkins, George, 1785-1865. ALS to T. J. Pettigrew",1852 Sep 6
12,584,"Wilkins, William, 1778-1839. ALS and AL to T. J. Pettigrew",1826 Feb
12,585-590,"Wilkinson, Sir John Gardner, 1797-1875. 91 ALS and 1 AL to T. J. Pettigrew",[1830]-58
13,591,"Williams, John, 1811-1862. 1 ALS to T.J. Pettigrew",1851 Oct 23
13,592,"Willis, Robert, 1800-1875. 1 AL to Sir John Gardner Wilkinson",1850 Jan 19
13,593,"Willson, Edward James, 1787-1854. ALS to T. J. Pettigrew",1852 Jul 30
13,594,"Wilson, Sir Daniel, 1816-1892. ALS to T. J. Pettigrew",1850 Jul 12
13,595,"Wilson, James Arthur, 1795-1882. 4 ALS to T. J. Pettigrew",[1836 or later]
13,596,"Wilson, Matthew. 4 ALS and 1 AL to T. J. Pettigrew",[1850 or later]
13,597,"Woodfall, George, 1767-1844. 4 ALS to T. J. Pettigrew",1829-34
13,598,"Word, J. ALS and LS to T. J. Pettigrew","1836 Sep, Nov"
13,599,"Wrangham, Francis, 1769-1842. 4 ALS to T. J. Pettigrew",1816-30
13,600,"Wright, John, 1770?-1844. 3 ALS to T. J. Pettigrew",[1842 or later]
13,601,"Wright, Thomas, 1810-1877. 10 ALS to T. J. Pettigrew",1840-45
13,602,"Wynyard, Miss. AL to Mr. Stephenson",n.d.
13,603,"Wyon, William, 1795-1851. ALS and AL to T. J. Pettigrew","1832, 1840"
13,604,"Yeats, Grant David, 1773-1836. AL to T. J. Pettigrew",1826 May 1
13,605,"Yorke, Charles Philip, 1764-1834. AL to T. J. Pettigrew",1817 Feb 3
13,606,"Yorke, Sir Joseph Sidney, 1768-1831. ALS to T. J. Pettigrew",1820 Sep 1
13,607,"Youatt, William, 1776-1847. 3 ALS to T. J. Pettigrew",1828-35
13,608,"Young, Sir Charles George, 1795-1869. 5 ALS and 1 AL to T. J. Pettigrew",1853 Mar
13,609,"Young, G. 5 ALS to T.J. Pettigrew",1833-49
13,610,"Zouche, Robert Curzon, 14th Baron, 1810-1873. AL to [T. J. Pettigrew]",1849 Jan 22
