BoxNumber,FolderNumber,Contents,Date
3,110,"Chichester, Henry Thomas Pelham, 7th Earl of, 1804-1886. ALS to T. J. Pettigrew",[1860?] Jul 24
3,111,"Chichester, Sir John Palmer Bruce, bart. ALS to T. J. Pettigrew",n.d.
3,112,"Cholmondeley, Susan (Somerset) Cholmondeley, Marchioness, 1804-1886. AL to T. J. Pettigrew",1835 Jun 22
3,113,"Cholmondeley, William Henry Hugh Cholmondeley, 3d Marquis, 1800-1884. ALS to T. J. Pettigrew",[1846 or later]
3,114,"Christmas, Henry, 1811-1868. ALS to T.J. Pettigrew",1855 Mar 14
3,115,"Churston, John Buller-Yarde-Buller, 1st Baron, 1799-1871. 2 ALS to T. J. Pettigrew","1861 Mar, Nov"
3,116-119,"Cimitile, Principe di. 39 ALS and 3 AL to T. J. Pettigrew.",[1823]-44
3,120,"Clanny, William Reid, 1776-1850. 5 ALS to T. J. Pettigrew",1829-49
3,121,"Clark, Sir James, 1788-1870. ALS and AL to T. J. Pettigrew",1832 Feb
3,122,"Clarke, Sir Charles Mansfield, bart., 1782-1857. 5 ALS to T. J. Pettigrew",[1836]-41
3,123,"Cleveland, Henry George Vane Powlett, 4th Duke of, 1803-1891. ALS to T. J. Pettigrew",1865 Aug 11
3,124,"Cleveland, Henry Vane, 2d Duke of, 1788-1864. ALS and AL to T. J. Pettigrew","1860 Jan, Feb"
3,125,"Clifford, Sir Augustus William James, bart., 1788-1877. ALS to T. J. Pettigrew",n.d.
3,126,"Clifford, Charles Clifford, 6th Baron, 1759-1831. ALS to T. J. Pettigrew",1823 Mar 14
3,127,"Clifford, Charles Hugh Clifford, 8th Baron, 1819-1880. 2 ALS to T. J. Pettigrew","1861 Apr, Nov"
3,128,"Clint, Scipio, 1805-1839. AL to T. J. Pettigrew",1833 Mar 9
3,129,"Close, Thomas, 1796-1881. ALS to T. J. Pettigrew",1852 Oct 27
3,130,"Clot, Antoine-barthélemy, 1793-1868. AL (in French) to T. J. Pettigrew and 1 calling card.",1833 Jan 21
3,131,"Clutterbuck, Henry, 1767-1856. 8 ALS to T. J. Pettigrew",1818-41
4,132,"Cockburn, Sir William Sarsfield Rossiter, bart., 1796-1858. ALS to T. J. Pettigrew",1856 Oct 14
4,133,"Colborne, Nicholas William Ridley-Colborne, 1st Baron, 1779-1854. 5 ALS to T. J. Pettigrew",[ca. 1849]
4,134,"Coleridge, Sir John Taylor, 1790-1876. 2 ALS to T. J. Pettigrew","1861 Mar, Nov"
4,135,"Collier, John Payne, 1789-1883. 2 ALS to T. J. Pettigrew","1854, 1855"
4,136,"Collyer, William Bengo, 1782-1854. 3 ALS to T. J. Pettigrew",1816-23
4,137,"Combe, Taylor, 1774-1826. 2 ALS to T. J. Pettigrew","1821, 1824"
4,138,"Conolly, John, 1794-1866. 7 ALS and 3 AL to T. J. Pettigrew",[1829]-57
4,139,"Conybeare, William Daniel, 1787-1857. ALS to T. J. Pettigrew",1854 Jul 28
4,140,"Conyngham, Henry Conyngham, 1st Marquess, 1766-1832. 2 ALS to T. J. Pettigrew",1831 Oct
4,141,"Cooke, John, 1756-1838. 7 ALS and 1 fragment to T. J. Pettigrew, 1 ALS to unidentified ""Madam.""",[1829-32]
4,142,"Cooper, Sir Astley Paston, bart., 1768-1841. 14 ALS to T. J. Pettigrew and 1 ALS from Pettigrew to Cooper",1815-38
4,143,"Copeland, Thomas, 1781-1855. 5 ALS and 1 AL to T. J. Pettigrew",[1822 or later]
4,144,"Copland, James, 1791-1870. 3 ALS to T. J. Pettigrew",1830 Feb
4,145,"Corblet, Louis-Achille-Jules, 1819-1886. ALS (in French) to T. J. Pettigrew",1857 Feb 20
4,146,"Corner, George Richard, 1801-1863. 5 ALS and 1 AL to T. J. Pettigrew",1845-52
4,147,"Cory, Isaac Preston, 1802-1842. ALS to T. J. Pettigrew",n.d.
4,148,"Costa, Sir Michael, 1810-1884. 7 ALS in French and 5 ALS in English to T. J. Pettigrew",1840-50
4,149,"Costello, Dudley, 1803-1865. 5 ALS to T. J. Pettigrew",[1856]-59
4,150,"Cotton, Henry, 1789-1879. ALS to T. J. Pettigrew",1851 May 9
4,151,"Coulson, William, 1802-1877. ALS to T. J. Pettigrew",1861 Nov 23
4,152,"Courtenay, Thomas Peregrine, 1782-1841. ALS to T. J. Pettigrew",1841 Feb 12
4,153,"Cowper, George Augustus Frederick, 6th Earl, 1806-1856. ALS to T. J. Pettigrew",1853 Jun 10
4,154,"Coxe, Henry Octavius, 1811-1881. 2 ALS to T. J. Pettigrew",[1846 or later]
4,155,"Craven, Louisa (Brunton) Craven, Countess of, 1785-1860. AL to T. J. Pettigrew",[1859 or later]
4,156,"Criticus, pseud. ALS to T. J. Pettigrew",n.d.
